clients,n_trees,max_depth,bins,random_state,split,acc,mcc
2,5,10,2,0,0,0.8245614035087719,0.6513389472789296
2,5,10,2,0,1,0.8947368421052632,0.7824607964359516
2,5,10,2,0,2,0.8421052631578947,0.662595343916706
2,5,10,2,0,3,0.9122807017543859,0.8179178119091964
2,5,10,2,0,4,0.8421052631578947,0.6761234037828132
2,5,10,2,0,0,0.8596491228070176,0.7197016060085818
2,5,10,2,0,1,0.7719298245614035,0.5290400570128865
2,5,10,2,0,2,0.7719298245614035,0.5083148550796349
2,5,10,2,0,3,0.9298245614035088,0.8535639569308375
2,5,10,2,0,4,0.8571428571428571,0.7098422141520242
2,5,10,2,0,0,0.7719298245614035,0.5254764081974527
2,5,10,2,0,1,0.7894736842105263,0.5669467095138409
2,5,10,2,0,2,0.7368421052631579,0.4243342123957527
2,5,10,2,0,3,0.8421052631578947,0.654770229717306
2,5,10,2,0,4,0.8571428571428571,0.6975761364357738
2,5,10,2,0,0,0.7543859649122807,0.5096471914376256
2,5,10,2,0,1,0.8771929824561403,0.7369780284390155
2,5,10,2,0,2,0.8596491228070176,0.7116835718867666
2,5,10,2,0,3,0.8421052631578947,0.662595343916706
2,5,10,2,0,4,0.7719298245614035,0.5290400570128865
2,5,10,2,0,0,0.8771929824561403,0.753778361444409
2,5,10,2,0,1,0.7894736842105263,0.5669467095138409
2,5,10,2,0,2,0.8070175438596491,0.5869126768948032
2,5,10,2,0,3,0.9122807017543859,0.8219277191853159
2,5,10,2,0,4,0.9285714285714286,0.852347186594598
2,5,10,2,0,0,0.8771929824561403,0.753778361444409
2,5,10,2,0,1,0.8771929824561403,0.7369780284390155
2,5,10,2,0,2,0.8596491228070176,0.7116835718867666
2,5,10,2,0,3,0.9473684210526315,0.8864143349643965
2,5,10,2,0,4,0.8596491228070176,0.7116835718867666
2,5,10,5,0,0,0.9298245614035088,0.8566790854748145
2,5,10,5,0,1,0.9473684210526315,0.8864143349643965
2,5,10,5,0,2,0.8771929824561403,0.7482643858621036
2,5,10,5,0,3,0.8947368421052632,0.7738095238095238
2,5,10,5,0,4,0.8947368421052632,0.7738095238095238
2,5,10,5,0,0,0.9649122807017544,0.925974025974026
2,5,10,5,0,1,0.9122807017543859,0.8112561965679829
2,5,10,5,0,2,0.9122807017543859,0.810206767705014
2,5,10,5,0,3,0.9122807017543859,0.8219277191853159
2,5,10,5,0,4,0.9285714285714286,0.8476190476190476
2,5,10,5,0,0,0.9473684210526315,0.8886350389948482
2,5,10,5,0,1,0.9298245614035088,0.8535639569308375
2,5,10,5,0,2,0.8947368421052632,0.7738095238095238
2,5,10,5,0,3,0.9473684210526315,0.8886350389948482
2,5,10,5,0,4,0.9285714285714286,0.8476190476190476
2,5,10,5,0,0,0.9473684210526315,0.8904905361044291
2,5,10,5,0,1,0.9473684210526315,0.8864143349643965
2,5,10,5,0,2,0.8947368421052632,0.7738095238095238
2,5,10,5,0,3,0.9473684210526315,0.8864143349643965
2,5,10,5,0,4,0.9473684210526315,0.8894991799933214
2,5,10,5,0,0,0.9473684210526315,0.8886350389948482
2,5,10,5,0,1,0.9298245614035088,0.8535639569308375
2,5,10,5,0,2,0.8947368421052632,0.7740653530990438
2,5,10,5,0,3,0.8245614035087719,0.6593959789271385
2,5,10,5,0,4,0.9107142857142857,0.8118990304530631
2,5,10,5,0,0,0.9649122807017544,0.925974025974026
2,5,10,5,0,1,0.9298245614035088,0.8486684247915055
2,5,10,5,0,2,0.9122807017543859,0.8139267835041308
2,5,10,5,0,3,0.9473684210526315,0.8886350389948482
2,5,10,5,0,4,0.8771929824561403,0.7330132131426444
2,5,10,10,0,0,0.9298245614035088,0.851823761469308
2,5,10,10,0,1,0.9649122807017544,0.9286112429750731
2,5,10,10,0,2,0.9473684210526315,0.8864143349643965
2,5,10,10,0,3,0.9824561403508771,0.9633432944855655
2,5,10,10,0,4,0.9122807017543859,0.8112561965679829
2,5,10,10,0,0,0.9298245614035088,0.851823761469308
2,5,10,10,0,1,0.8596491228070176,0.6945667492672501
2,5,10,10,0,2,0.8947368421052632,0.7740653530990438
2,5,10,10,0,3,0.9473684210526315,0.8955910525085281
2,5,10,10,0,4,0.9464285714285714,0.8874245216579992
2,5,10,10,0,0,0.9473684210526315,0.8904905361044291
2,5,10,10,0,1,0.9473684210526315,0.8886350389948482
2,5,10,10,0,2,0.8947368421052632,0.7803455823319942
2,5,10,10,0,3,0.9649122807017544,0.9246031746031746
2,5,10,10,0,4,0.9473684210526315,0.8894991799933214
2,5,10,10,0,0,0.9649122807017544,0.9273353546322172
2,5,10,10,0,1,0.9122807017543859,0.8112561965679829
2,5,10,10,0,2,0.9473684210526315,0.8894991799933214
2,5,10,10,0,3,0.9473684210526315,0.8955910525085281
2,5,10,10,0,4,0.9464285714285714,0.8874245216579992
2,5,10,10,0,0,0.9298245614035088,0.851823761469308
2,5,10,10,0,1,0.9824561403508771,0.962621902223779
2,5,10,10,0,2,0.9122807017543859,0.8112561965679829
2,5,10,10,0,3,0.9649122807017544,0.9286112429750731
2,5,10,10,0,4,0.9464285714285714,0.8874245216579992
2,5,10,10,0,0,0.9298245614035088,0.8519480519480519
2,5,10,10,0,1,0.8947368421052632,0.7803455823319942
2,5,10,10,0,2,0.8947368421052632,0.7740653530990438
2,5,10,10,0,3,0.9473684210526315,0.8886350389948482
2,5,10,10,0,4,0.9473684210526315,0.8864143349643965
2,5,10,25,0,0,0.9473684210526315,0.8886350389948482
2,5,10,25,0,1,0.9298245614035088,0.8544784126535336
2,5,10,25,0,2,0.8596491228070176,0.6984126984126984
2,5,10,25,0,3,0.8947368421052632,0.7715167498104596
2,5,10,25,0,4,0.9122807017543859,0.8112561965679829
2,5,10,25,0,0,0.9473684210526315,0.8918825850158447
2,5,10,25,0,1,0.9473684210526315,0.8864143349643965
2,5,10,25,0,2,0.9473684210526315,0.8864143349643965
2,5,10,25,0,3,0.9122807017543859,0.8219277191853159
2,5,10,25,0,4,0.9642857142857143,0.9278305692406299
2,5,10,25,0,0,0.9649122807017544,0.925974025974026
2,5,10,25,0,1,0.9649122807017544,0.9246031746031746
2,5,10,25,0,2,0.9649122807017544,0.9258200997725514
2,5,10,25,0,3,0.9649122807017544,0.9246031746031746
2,5,10,25,0,4,0.9464285714285714,0.8874245216579992
2,5,10,25,0,0,0.9473684210526315,0.8904905361044291
2,5,10,25,0,1,0.9473684210526315,0.8955910525085281
2,5,10,25,0,2,0.9122807017543859,0.810206767705014
2,5,10,25,0,3,0.9649122807017544,0.9258200997725514
2,5,10,25,0,4,0.9298245614035088,0.8486684247915055
2,5,10,25,0,0,0.9298245614035088,0.851823761469308
2,5,10,25,0,1,0.9649122807017544,0.9258200997725514
2,5,10,25,0,2,0.9649122807017544,0.9258200997725514
2,5,10,25,0,3,0.9298245614035088,0.8544784126535336
2,5,10,25,0,4,0.9285714285714286,0.8528543616252254
2,5,10,25,0,0,0.9473684210526315,0.8886350389948482
2,5,10,25,0,1,0.9473684210526315,0.8864143349643965
