,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target
81,5.5,2.4,3.7,1.0,1
133,6.3,2.8,5.1,1.5,2
137,6.4,3.1,5.5,1.8,2
75,6.6,3.0,4.4,1.4,1
109,7.2,3.6,6.1,2.5,2
96,5.7,2.9,4.2,1.3,1
105,7.6,3.0,6.6,2.1,2
66,5.6,3.0,4.5,1.5,1
0,5.1,3.5,1.4,0.2,0
122,7.7,2.8,6.7,2.0,2
67,5.8,2.7,4.1,1.0,1
28,5.2,3.4,1.4,0.2,0
40,5.0,3.5,1.3,0.3,0
44,5.1,3.8,1.9,0.4,0
60,5.0,2.0,3.5,1.0,1
123,6.3,2.7,4.9,1.8,2
24,4.8,3.4,1.9,0.2,0
25,5.0,3.0,1.6,0.2,0
23,5.1,3.3,1.7,0.5,0
94,5.6,2.7,4.2,1.3,1
39,5.1,3.4,1.5,0.2,0
95,5.7,3.0,4.2,1.2,1
117,7.7,3.8,6.7,2.2,2
47,4.6,3.2,1.4,0.2,0
97,6.2,2.9,4.3,1.3,1
113,5.7,2.5,5.0,2.0,2
33,5.5,4.2,1.4,0.2,0
138,6.0,3.0,4.8,1.8,2
101,5.8,2.7,5.1,1.9,2
62,6.0,2.2,4.0,1.0,1
84,5.4,3.0,4.5,1.5,1
148,6.2,3.4,5.4,2.3,2
53,5.5,2.3,4.0,1.3,1
5,5.4,3.9,1.7,0.4,0
93,5.0,2.3,3.3,1.0,1
